SSCI,ENL,meanFrac,can.open,TopH,Site,div.lev
9.314381629,12.80282405,2.398926789,-0.0675,24.75,ASref,Ref
8.351685398,14.909154,2.199447012,0.7075,33,ASref,Ref
8.898342455,12.12186556,2.416027323,1.174,23,ASref,Ref
8.136922927,12.55075573,2.299562811,-0.008,28,ASref,Ref
8.553558575,10.07309286,2.532502389,2.18,30,ASref,Ref
7.579301026,11.13717497,2.323282035,3.776,24,ASref,Ref
7.147734996,11.0217274,2.27469585,5.098,21,ASref,Ref
8.696080304,13.03409068,2.337045113,0.2,31,ASref,Ref
8.149171721,16.54504548,2.168450745,3.682,31.8,ASref,Ref
8.121768891,8.614943281,2.718537056,0.934,21,ASref,Ref
9.039481732,18.95727107,2.144284062,2.108,38,ASref,Ref
5.872655545,19.60851216,1.811821771,16.14203858,NA,EBref,Ref
7.040193861,16.56873626,2.016320526,5.062746618,NA,EBref,Ref
7.266237767,18.70250324,1.991836964,4.070496893,NA,EBref,Ref
7.839825332,16.15252848,2.116426082,67.86858344,NA,EBref,Ref
7.466179971,11.63744086,2.291508756,3.092655997,NA,EBref,Ref
7.537096103,14.30053447,2.167219963,3.550611324,NA,EBref,Ref
7.338816525,15.75055779,2.063937354,7.355836891,NA,EBref,Ref
8.160251164,12.42742047,2.305848809,2.839458166,NA,EBref,Ref
5.320144727,4.777350543,2.959164346,35.64,7.2,BDref,Ref
5.232702287,4.72003259,2.942291953,34.252,17.8,BDref,Ref
4.711532313,5.592082732,2.408918808,55.164,8.8,BDref,Ref
3.365899554,4.093441087,2.354004301,63.3,6.6,BDref,Ref
5.639356671,5.002113506,2.911270832,39.428,9,BDref,Ref
4.801285585,5.289592176,2.581790144,31.996,20.6,BDref,Ref
4.643390058,5.695065453,2.413042434,33.172,8,BDref,Ref
4.776602385,4.397036274,2.873899326,52.728,7.4,BDref,Ref
4.543574417,5.149027623,2.51801603,56.874,7.8,BDref,Ref
5.015925576,4.475466686,2.940247532,57.73,7.8,BDref,Ref
5.366759562,3.239770489,4.329692676,23.202,6.8,IDref,Ref
6.926630435,3.534896716,4.883045479,18.512,7,IDref,Ref
4.050930939,4.701219743,2.432837811,60.7,7.6,IDref,Ref
6.01009368,3.181327328,4.733543281,5.32,6,IDref,Ref
3.117731361,4.461760022,2.226642949,83.118,7.8,IDref,Ref
5.392146677,4.418899375,3.088646244,23.584,9,IDref,Ref
3.476911568,4.51472928,2.277761731,54.57,8.2,IDref,Ref
8.298020053,4.363257472,4.784392046,22.978,9,IDref,Ref
