"comp","comp_name","div.lev","TopH","ENL","meanFrac","SSCI","can.open","Site","plot"
1,"TeAm","1",27.5,17.73237719,1.69302235,4.541885279,3.79,"AguaSalud",194
1,"TeAm","1",27,20.09395285,1.683076634,4.845488688,5.415,"AguaSalud",210
1,"TeAm","1",21,16.05435586,1.728132141,4.565716104,6.14,"AguaSalud",224
1,"TeAm","1",28,18.17467339,1.661525909,4.35990522,4.11,"AguaSalud",248
1,"TeAm","1",29,20.8026557,1.632699968,4.427800538,3.44,"AguaSalud",272
1,"TeAm","1",30,18.28725816,1.60525631,3.956890457,3.44,"AguaSalud",280
1,"TeAm","1",25,15.63807788,1.660667958,4.033792711,3.23,"AguaSalud",300
1,"TeAm","1",27,15.94082986,1.660896027,4.074765453,3.96,"AguaSalud",321
1,"TeAm","1",24,13.76190846,2.258089775,8.462051457,0.98,"AguaSalud",357
1,"TeAm","1",29,19.02601451,1.647968791,4.356020164,5.87,"AguaSalud",398
1,"TeAm","1",31,21.89139571,1.561386476,3.955407767,5.74,"AguaSalud",426
2,"DaRe","1",17.5,12.05694552,1.81965137,4.476154613,0.3,"AguaSalud",182
2,"DaRe","1",29.5,15.53080324,1.702271849,4.321385836,15.39,"AguaSalud",204
2,"DaRe","1",23,9.582083146,1.900044416,4.270156261,14.34,"AguaSalud",206
2,"DaRe","1",30,13.12801807,1.903407779,5.244743457,6.66,"AguaSalud",247
2,"DaRe","1",16,9.016645848,1.808339663,3.679403073,35.95,"AguaSalud",266
2,"DaRe","1",18,10.94444011,1.771721937,3.929784588,4.02,"AguaSalud",282
2,"DaRe","1",30,13.57648117,1.843997748,4.933932142,15.29,"AguaSalud",306
2,"DaRe","1",24,9.461650349,2.017976042,4.844193977,82.61,"AguaSalud",348
2,"DaRe","1",28,12.16129066,1.894996214,4.887781541,1.61,"AguaSalud",365
2,"DaRe","1",16,7.342839369,1.989825972,3.942351158,4.78,"AguaSalud",378
2,"DaRe","1",18,7.58355947,2.349134057,5.5180202,1.495,"AguaSalud",386
2,"DaRe","1",24,10.57283758,1.818634391,4.097835455,63.27,"AguaSalud",392
3,"AnEx","1",21.5,15.40110846,1.9612774725,6.332737096,5.37,"Sardinillia",97
3,"AnEx","1",20,13.226968555,2.1986369755,7.6481472935,0.17,"Sardinillia",98
3,"AnEx","1",21.5,11.98978191,1.767201583,4.114790808,36.535,"AguaSalud",172
3,"AnEx","1",21,13.59436813,1.360914254,2.233778005,100,"AguaSalud",212
3,"AnEx","1",21,11.94929756,1.72843393,3.886321478,100,"AguaSalud",235
3,"AnEx","1",32,9.573840241,1.386387912,2.091811572,100,"AguaSalud",285
3,"AnEx","1",26,14.20280018,1.871679243,5.276543414,13.61,"AguaSalud",304
3,"AnEx","1",33,12.56481309,1.697981526,3.818892193,31.09,"AguaSalud",364
3,"AnEx","1",25,10.87984089,1.987310632,5.151503489,13.86,"AguaSalud",389
3,"AnEx","1",17,8.057525022,2.083124088,4.624162264,27.06,"AguaSalud",401
3,"AnEx","1",19,7.928569248,1.494762965,2.29851437,99.99,"AguaSalud",424
4,"PaQu","1",15,8.95859669,1.661224654,3.042857115,95.965,"AguaSalud",176
4,"PaQu","1",22.5,8.038645017,2.261162874,5.124173625,27.71,"AguaSalud",185
4,"PaQu","1",19,10.55761642,1.682688404,3.409229735,95.49,"AguaSalud",219
4,"PaQu","1",26,7.865052719,1.770595858,3.248843533,87.27,"AguaSalud",231
4,"PaQu","1",16,6.319564469,1.891162273,3.237360958,15.6,"AguaSalud",257
4,"PaQu","1",14,7.511542659,1.984232091,3.981783237,61.8,"AguaSalud",291
4,"PaQu","1",25,8.277872195,2.109728629,4.844854957,1.97,"AguaSalud",302
4,"PaQu","1",18,7.859779104,1.892186571,3.724198245,96.09,"AguaSalud",337
4,"PaQu","1",26,7.441980509,2.124147182,4.536326774,-0.05,"AguaSalud",372
4,"PaQu","1",18,7.473339986,2.410185987,5.867246558,99.99,"AguaSalud",419
4,"PaQu","1",22,10.19480537,1.4139172,2.234941559,100,"AguaSalud",422
5,"TaRo","1",16.25,9.497319066,2.312584147,6.460424863,-0.055,"Sardinillia",99
5,"TaRo","1",17,11.5653506,2.149360094,6.508747127,-0.16,"Sardinillia",100
5,"TaRo","1",22.66666667,12.65895086,1.521610606,2.905714931,96.66,"AguaSalud",171
5,"TaRo","1",19.5,9.340948757,1.826786746,3.835473204,35.735,"AguaSalud",186
5,"TaRo","1",25,11.78147029,1.780538263,4.152944979,20.75,"AguaSalud",207
5,"TaRo","1",16,8.383924363,1.684672828,3.031403217,100,"AguaSalud",267
5,"TaRo","1",28,16.77120153,1.669093312,4.239556358,58.79,"AguaSalud",275
5,"TaRo","1",14,9.041031614,1.653360151,3.02548952,99.6,"AguaSalud",297
5,"TaRo","1",18,8.258241579,1.72651199,3.167489817,100,"AguaSalud",318
5,"TaRo","1",23,8.391527386,1.568992966,2.606930155,80.85,"AguaSalud",349
5,"TaRo","1",21,6.254287082,2.14591326,4.054466249,22.24,"AguaSalud",370
5,"TaRo","1",18,8.734839946,1.611548614,2.812954523,100,"AguaSalud",381
5,"TaRo","1",12,6.681061903,1.773303466,2.965656004,22.435,"UADY",472
5,"TaRo","1",18,7.710559051,1.741980285,3.111445672,28.23,"UADY",473
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",22,17.51218407,1.723370745,4.869911011,7.28,"AguaSalud",180
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",22.5,14.97142581,1.9811829,6.362171232,4.345,"AguaSalud",188
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",24,15.36601824,1.781082146,4.837907624,7.42,"AguaSalud",209
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",22,15.98489934,1.717152216,4.478073397,5.62,"AguaSalud",214
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",25,18.27753451,1.624148319,4.092694287,9.47,"AguaSalud",239
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",30,20.47319398,1.853765644,6.445976771,3.69,"AguaSalud",277
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",23,18.8514116,1.7107191,4.838934433,7.31,"AguaSalud",295
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",19,14.39989387,1.838880772,5.057344588,3.255,"AguaSalud",299
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",24,15.12804159,1.648088256,3.885422931,5.96,"AguaSalud",317
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",27,19.64648077,1.836445401,6.11082266,2.14,"AguaSalud",331
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",24,14.05657129,1.723436056,4.215156663,5.42,"AguaSalud",332
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",26,16.07160993,1.844412481,5.473968105,6.79,"AguaSalud",342
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",22,17.42298293,1.812539701,5.471816993,2.53,"AguaSalud",358
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",21,12.26918577,1.841640693,4.622669,1.59,"AguaSalud",397
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",22,12.23077518,2.08597499,6.302831773,1.07,"AguaSalud",409
6,"DaRe|PaQu|TeAm|AnEx|TaRo","5",23,13.46683886,1.909665846,5.377171522,2.31,"AguaSalud",421
7,"DaRe|AnEx","2",23.5,10.81851802,1.87084772,4.452525288,30.475,"AguaSalud",174
7,"DaRe|AnEx","2",27.5,13.18675949,1.796838313,4.565074106,2.43,"AguaSalud",184
7,"DaRe|AnEx","2",39,7.780001508,1.835101301,3.474669353,42.01,"AguaSalud",220
7,"DaRe|AnEx","2",21,10.22526614,1.852821961,4.194462297,26.27,"AguaSalud",229
7,"DaRe|AnEx","2",32,12.16312124,1.769439397,4.160972134,5.87,"AguaSalud",262
7,"DaRe|AnEx","2",18,8.63869331,1.917130395,4.068815559,29.48,"AguaSalud",296
7,"DaRe|AnEx","2",10,6.715131287,2.051171268,3.927941758,33.39,"AguaSalud",313
7,"DaRe|AnEx","2",24.5,11.60491117,2.163511562,6.507182943,2.37,"AguaSalud",346
7,"DaRe|AnEx","2",26,10.64179961,2.122426209,5.927756227,17.02,"AguaSalud",379
7,"DaRe|AnEx","2",20,6.624504271,1.879484919,3.297204973,62.06,"AguaSalud",388
7,"DaRe|AnEx","2",20,10.35206956,1.350697849,2.085390202,99.11,"AguaSalud",413
7,"DaRe|AnEx","2",23,8.882792221,2.315468269,6.257682032,0.6,"AguaSalud",423
7,"DaRe|AnEx","2",20,9.060114807,2.004064419,4.627832683,0.67,"AguaSalud",427
8,"PaQu|AnEx","2",18.5,9.039149495,1.978791917,4.437789577,7.945,"AguaSalud",177
8,"PaQu|AnEx","2",17.5,7.124242907,1.917329615,3.580102079,70.47,"AguaSalud",192
8,"PaQu|AnEx","2",20.5,11.69125843,2.025000313,5.62963805,1.235,"AguaSalud",201
8,"PaQu|AnEx","2",32,9.450782907,2.083282676,5.199236439,20.83,"AguaSalud",250
8,"PaQu|AnEx","2",10,3.713632021,2.191252891,2.798930399,66.94,"AguaSalud",270
8,"PaQu|AnEx","2",28,11.62781915,2.142435278,6.484091282,10.37,"AguaSalud",281
8,"PaQu|AnEx","2",23,7.876160806,1.98704534,4.125278853,2.04,"AguaSalud",322
8,"PaQu|AnEx","2",24,13.49445868,1.796531964,4.593151364,55.31,"AguaSalud",329
8,"PaQu|AnEx","2",30,12.01869879,2.252217837,7.529271075,0.95,"AguaSalud",343
8,"PaQu|AnEx","2",17,9.699211893,2.125845736,5.548387014,59.94,"AguaSalud",354
8,"PaQu|AnEx","2",25,15.29789513,0.355547386,0.059562955,100,"AguaSalud",396
8,"PaQu|AnEx","2",24,9.943891959,2.215547001,6.216636037,1.46,"AguaSalud",408
8,"PaQu|AnEx","2",18,10.29364606,1.860580843,4.252974847,98.64,"AguaSalud",428
9,"TeAm|AnEx","2",17.5,12.81163856,1.739060031,4.089030261,6,"AguaSalud",175
9,"TeAm|AnEx","2",19,13.21098642,1.827536653,4.77853385,6.315,"AguaSalud",199
9,"TeAm|AnEx","2",26,19.91106413,1.607072685,4.133415039,6.54,"AguaSalud",216
9,"TeAm|AnEx","2",29,21.13486937,1.543154285,3.756839597,6.06,"AguaSalud",236
9,"TeAm|AnEx","2",30,24.15833131,1.764771965,6.103960738,2.45,"AguaSalud",244
9,"TeAm|AnEx","2",27,16.16897689,1.746490811,4.72032267,3.15,"AguaSalud",260
9,"TeAm|AnEx","2",22,18.52825434,1.63886195,4.229732156,6.07,"AguaSalud",273
9,"TeAm|AnEx","2",30,20.60698454,1.638157626,4.452060073,5.33,"AguaSalud",305
9,"TeAm|AnEx","2",20,13.54057083,1.477241271,2.763999596,7.79,"AguaSalud",307
9,"TeAm|AnEx","2",31,20.3806391,1.717778478,5.108913599,5.76,"AguaSalud",347
9,"TeAm|AnEx","2",28,18.14867667,1.703174426,4.680876279,4.83,"AguaSalud",366
9,"TeAm|AnEx","2",18,10.12397534,2.109467996,5.628984046,1.2,"AguaSalud",385
9,"TeAm|AnEx","2",19,12.82430204,1.622833894,3.439387102,6.71,"AguaSalud",420
10,"AnEx|TaRo","2",26,11.75225774,1.902836548,4.879824946,20.665,"AguaSalud",181
10,"AnEx|TaRo","2",18,7.002690204,1.976188262,3.753052127,52.935,"AguaSalud",205
10,"AnEx|TaRo","2",21,12.313795,1.551576106,3.012852212,81.52,"AguaSalud",226
10,"AnEx|TaRo","2",24,16.43491854,1.481251301,3.003720482,100,"AguaSalud",242
10,"AnEx|TaRo","2",18,8.17744479,1.557796631,2.538272295,98.02,"AguaSalud",256
10,"AnEx|TaRo","2",40,8.544206487,1.674271645,3.021087693,83.71,"AguaSalud",268
10,"AnEx|TaRo","2",20,8.617534338,1.960568694,4.263165546,17.65,"AguaSalud",284
10,"AnEx|TaRo","2",26,11.76309304,1.790849891,4.205159949,38.49,"AguaSalud",320
10,"AnEx|TaRo","2",25,11.84444796,1.68897884,3.653044824,77.03,"AguaSalud",324
10,"AnEx|TaRo","2",31,11.72502444,2.045507437,5.822464783,29.79,"AguaSalud",335
10,"AnEx|TaRo","2",20,9.646056619,1.767883001,3.638024132,93.39,"AguaSalud",377
10,"AnEx|TaRo","2",18,10.40018651,1.659725007,3.275562198,99.99,"AguaSalud",403
