Zone,plotID,Site,comp,comp_name,div.lev,TopH,ENL,meanFrac,SSCI,can.open,plot,Clim.zone,SR.log2,FSI_mean,FSI_se,FENL_mean,FENL_se,FMFrac_mean,FMFrac_se,ref_n,SSCI_sc,meanFrac_sc,ENL_sc,FSI_sc,FMFrac_sc,FENL_sc,FSI_comp
ASref,1,AguaSalud,1,TeAm,1,27.5,17.73237719,1.69302235,4.541885279,3.79,194,Humid,0,0.70356571,0.010210687,1.160412625,0.032609284,0.83843291,0.00988629,11,0.203219335,-0.505948054,1.282030471,0.275362957,-0.414005389,1.239666504,0.010598377
ASref,2,AguaSalud,1,TeAm,1,27,20.09395285,1.683076634,4.845488688,5.415,210,Humid,0,0.733682544,0.010014228,1.219100842,0.030574633,0.835177461,0.010097026,11,0.478355501,-0.547975113,1.849543998,0.530419311,-0.459786603,1.593709523,0.011078363
ASref,3,AguaSalud,1,TeAm,1,21,16.05435586,1.728132141,4.565716104,6.14,224,Humid,0,0.706316,0.009785554,1.113291775,0.031428054,0.848501458,0.010306664,11,0.224815673,-0.357586564,0.878782834,0.29865488,-0.272411898,0.955404877,0.010326633
ASref,4,AguaSalud,1,TeAm,1,28,18.17467339,1.661525909,4.35990522,4.11,248,Humid,0,0.685455519,0.009573875,1.170631425,0.032978555,0.829050591,0.009933395,11,0.038302557,-0.639040813,1.388319285,0.121989623,-0.54594847,1.301312522,0.010536817
ASref,5,AguaSalud,1,TeAm,1,29,20.8026557,1.632699968,4.427800538,3.44,272,Humid,0,0.692115507,0.009621059,1.2349675,0.031441299,0.820534828,0.010052787,11,0.0998317,-0.760848988,2.019853364,0.178392376,-0.665705222,1.689426859,0.010968066
ASref,6,AguaSalud,1,TeAm,1,30,18.28725816,1.60525631,3.956890457,3.44,280,Humid,0,0.642421174,0.00945497,1.174406621,0.030150055,0.81198402,0.009858865,11,-0.326923701,-0.876816126,1.415374688,-0.24246379,-0.785954798,1.324086802,0.010289477
ASref,7,AguaSalud,1,TeAm,1,25,15.63807788,1.660667958,4.033792711,3.23,300,Humid,0,0.650265115,0.009303577,1.097624453,0.032851366,0.828957976,0.010037794,11,-0.257232153,-0.642666208,0.778746495,-0.176034266,-0.547250905,0.86089006,0.009878252
ASref,8,AguaSalud,1,TeAm,1,27,15.94082986,1.660896027,4.074765453,3.96,321,Humid,0,0.655597655,0.009399218,1.108336302,0.03280492,0.82958273,0.009995928,11,-0.220101203,-0.64170247,0.851501243,-0.130873535,-0.538465026,0.925510451,0.009984405
ASref,9,AguaSalud,1,TeAm,1,24,13.76190846,2.258089775,8.462051457,0.98,357,Humid,0,1.006083833,0.011411881,1.0339698,0.034011146,0.981001101,0.010172102,11,3.755812826,1.881825922,0.327881615,2.837357644,1.590923953,0.476886476,0.011576464
ASref,10,AguaSalud,1,TeAm,1,29,19.02601451,1.647968791,4.356020164,5.87,398,Humid,0,0.684929784,0.010019752,1.192412094,0.031752346,0.825385784,0.009690305,11,0.034781782,-0.696328372,1.592906252,0.11753723,-0.597486468,1.432706763,0.01067138
ASref,11,AguaSalud,1,TeAm,1,31,21.89139571,1.561386476,3.955407767,5.74,426,Humid,0,0.642266573,0.009738939,1.261848857,0.031332123,0.798932431,0.01058844,11,-0.328267367,-1.062194443,2.281489989,-0.243773085,-0.969498649,1.851591551,0.010825706
ASref,12,AguaSalud,2,DaRe,1,17.5,12.05694552,1.81965137,4.476154613,0.3,182,Humid,0,0.697038894,0.009957167,0.967825664,0.032646329,0.873901961,0.009882025,11,0.143651876,0.029141149,-0.081840397,0.220088035,0.084794112,0.077864818,0.009327357
ASref,13,AguaSalud,2,DaRe,1,29.5,15.53080324,1.702271849,4.321385836,15.39,204,Humid,0,0.680986828,0.009753194,1.0950202,0.032616381,0.840416713,0.010254629,11,0.003394927,-0.466862961,0.752967177,0.084144745,-0.38610726,0.845179621,0.010031826
ASref,14,AguaSalud,2,DaRe,1,23,9.582083146,1.900044416,4.270156261,14.34,206,Humid,0,0.676183642,0.009559709,0.853937238,0.032529799,0.895447579,0.009909708,11,-0.043031129,0.368853571,-0.676578012,0.043467064,0.387789054,-0.609179436,0.008493838
ASref,15,AguaSalud,2,DaRe,1,30,13.12801807,1.903407779,5.244743457,6.66,247,Humid,0,0.770969087,0.010159429,1.010484006,0.032851346,0.895767783,0.010201976,11,0.84017432,0.383065947,0.175550535,0.846195184,0.392292074,0.335205884,0.010055619
ASref,16,AguaSalud,2,DaRe,1,16,9.016645848,1.808339663,3.679403073,35.95,266,Humid,0,0.611464956,0.009303266,0.824288071,0.032349063,0.870918345,0.010195379,11,-0.5783926,-0.018658101,-0.812459034,-0.504628792,0.042835659,-0.788041241,0.00790887
ASref,17,AguaSalud,2,DaRe,1,18,10.94444011,1.771721937,3.929784588,4.02,282,Humid,0,0.638854103,0.009235085,0.919457119,0.031811962,0.860456174,0.009873326,11,-0.351488,-0.173391589,-0.349188118,-0.272672948,-0.10429332,-0.213923662,0.008684815
ASref,18,AguaSalud,2,DaRe,1,30,13.57648117,1.843997748,4.933932142,15.29,306,Humid,0,0.742092025,0.009712519,1.026861062,0.032225416,0.880240451,0.009875123,11,0.558506093,0.132020284,0.283321326,0.601638336,0.173931976,0.43400225,0.009989488
ASref,19,AguaSalud,2,DaRe,1,24,9.461650349,2.017976042,4.844193977,82.61,348,Humid,0,0.734032721,0.010249861,0.846304483,0.031348138,0.925168931,0.010502243,11,0.477182188,0.867190681,-0.705519385,0.533384926,0.805758947,-0.655224856,0.00878201
ASref,20,AguaSalud,2,DaRe,1,28,12.16129066,1.894996214,4.887781541,1.61,365,Humid,0,0.737768392,0.010214117,0.972235326,0.033056851,0.893356267,0.009983724,11,0.516682783,0.347521664,-0.056765072,0.565021935,0.358379041,0.104466582,0.009641232
ASref,21,AguaSalud,2,DaRe,1,16,7.342839369,1.989825972,3.942351158,4.78,378,Humid,0,0.640731102,0.009497243,0.72935773,0.030233377,0.917973024,0.010298208,11,-0.340099729,0.748238496,-1.214693794,-0.256776835,0.704563268,-1.360718796,0.007492218
ASref,22,AguaSalud,2,DaRe,1,18,7.58355947,2.349134057,5.5180202,1.495,386,Humid,0,0.795401392,0.010174029,0.742527028,0.030401531,1.000369719,0.010414223,11,1.087827387,2.266546679,-1.156846013,1.053109849,1.863303873,-1.281273586,0.008526902
ASref,23,AguaSalud,2,DaRe,1,24,10.57283758,1.818634391,4.097835455,63.27,392,Humid,0,0.657647117,0.009855552,0.901331189,0.032124455,0.87348415,0.00992616,11,-0.19919435,0.024843758,-0.438488438,-0.113516849,0.07891845,-0.323270294,0.008681136
ASref,24,AguaSalud,3,AnEx,1,21.5,11.98978191,1.767201583,4.114790808,36.535,172,Humid,0,0.6596898,0.009699012,0.964726237,0.034008617,0.859339197,0.01012438,11,-0.183828808,-0.192492997,-0.097980578,-0.096217582,-0.120001316,0.059167193,0.009097072
ASref,25,AguaSalud,3,AnEx,1,21,13.59436813,1.360914254,2.233778005,100,212,Humid,0,0.421860137,0.007069287,1.026254946,0.033254043,0.734252412,0.00943764,11,-1.888469259,-1.909318757,0.287619766,-2.110372386,-1.879090525,0.430345785,0.007891482
ASref,26,AguaSalud,3,AnEx,1,21,11.94929756,1.72843393,3.886321478,100,235,Humid,0,0.634852317,0.009411862,0.963288072,0.03178798,0.848291228,0.010166263,11,-0.39087581,-0.356311311,-0.107709428,-0.306563652,-0.275368355,0.050491306,0.008932363
